id,source,year,title,decision,reason,doi
1,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,An Evaluation of Ontology-based User Preferences and Profiling System in a Smart Home,UNCERTAIN,"IC3(ontology)+IC5(smart home), IC4 borderline – preferences are lighting/heating state, not psychological traits",10.1109/NIGERCON62786.2024.10927055
2,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,User portrait-driven smart home device deployment optimization and spatial interaction design,EXCLUDE,"EC3 – RL/GPR method, focus is device deployment optimization, not user psychological modeling",10.1109/AIAHPC66801.2025.11290248
3,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,RAG-based User Profiling for Precision Planning in Mixed-precision Over-the-Air Federated Learning,EXCLUDE,"EC2/context – federated wireless learning, not built environment",10.1109/VTC2025-Fall65116.2025.11310436
4,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Analyzing User Interests and Emotions for Product Recommendations Based on Interactive Social Media Content,EXCLUDE,EC2 – social media product recommendation,10.1109/ICMISI65108.2025.11115465
5,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Knowledge inference from home appliances data,EXCLUDE,"EC1/context – knowledge inference from appliance data, no user psychological modeling",10.1109/ICCP56966.2022.10053977
6,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Cost-Sensitive User Modeling for Predicting Phishing Susceptibility,EXCLUDE,"context – cybersecurity phishing susceptibility, not built environment",10.1109/ISI65680.2025.11201138
7,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Design of College User Portrait System Based on Data Centers,UNCERTAIN,IC5 borderline (smart campus), user portrait system but no relational/generative AI method and educational focus,10.1109/EDPEE61724.2024.00035
8,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Federated Learning for Privacy-Preserving User Modeling in Mobile Applications,EXCLUDE,"context – federated learning for mobile apps, not built environment",10.1109/AECTSD65988.2025.11410725
9,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Research on Communication Strategy of Computing Advertising Scene Based on Artificial Intelligence,EXCLUDE,EC2 – computing advertising,10.1109/SCM66446.2025.11060357
10,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Personalized News Headline Generation System with Fine-grained User Modeling,EXCLUDE,EC2 – personalized news headline generation,10.1109/MSN57253.2022.00097
11,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Bi-Level User Modeling for Deep Recommenders,EXCLUDE,EC2 – deep recommender systems,10.1109/ICDM59182.2024.00058
12,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Research on the Design of I&P Teaching Resource Recommendation Method Based on AI and Deep Learning Algorithms,EXCLUDE,"EC2/context – educational recommendation, deep learning",10.1109/ICIPCA65645.2025.11138580
13,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Time-aware User Modeling with Check-in Time Prediction for Next POI Recommendation,EXCLUDE,EC2 – POI/location-based social network recommendation,10.1109/ICWS53863.2021.00028
14,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,User Modeling Using EEG Signals: A Systematic Literature Review,EXCLUDE,"context – EEG/BCI, not built environment",10.1109/CONISOFT63288.2024.00024
15,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,A Framework for Dynamic User Modeling Integrating Data Stream Mining and Process Mining in Educational Contexts,EXCLUDE,context – educational data stream mining,10.1109/ACCESS.2025.3611957
16,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,VRule - A Pixel Rewriting System for End-User Modeling,EXCLUDE,"context – pixel rewriting/formal systems, no built environment",10.1109/VL/HCC51201.2021.9576388
17,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,A Comprehensive User Modeling Framework and a Recommender System for Personalizing Well-Being Related Behavior Change Interventions: Development and Evaluation,EXCLUDE,context – health behavior change recommender system,10.1109/ACCESS.2022.3218776
18,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Insider Threat Detection Based on Personalized User Modeling,EXCLUDE,context – cybersecurity insider threat detection,10.1109/CISAT62382.2024.10695344
19,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Cross Layer Design for Primary User Modeling in Cognitive Radio Ad-hoc Sensor Network,EXCLUDE,"context – cognitive radio networks, 'user' refers to radio primary users",10.1109/ICESC54411.2022.9885585
20,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Performance of RIS-Empowered LEO Satellite System with RSMA and Stochastic User Modeling,EXCLUDE,"context – LEO satellite stochastic user modeling (wireless channels, not humans)",10.1109/ICCCWorkshops67136.2025.11148134
21,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,A Unified Comparison of User Modeling Techniques for Predicting Data Interaction and Detecting Exploration Bias,EXCLUDE,context – visual analytics dashboards,10.1109/TVCG.2022.3209476
22,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Factorial User Modeling with Hierarchical Graph Neural Network for Enhanced Sequential Recommendation,EXCLUDE,EC2 – GNN for sequential recommendation,10.1109/ICME52920.2022.9859593
23,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,"Efficient Dialog Policy Learning With Hindsight, User Modeling, and Adaptation",EXCLUDE,context – goal-oriented dialog policy via RL,10.1109/TCDS.2021.3061121
24,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Multi-Modal User Modeling for Task Guidance: A Dataset for Real-Time Assistance with Stress and Interruption Dynamics,UNCERTAIN,IC4(stress/psychological), wearable+AR context but IC5 not built environment, IC3 unclear,10.1109/VRW62533.2024.00105
25,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,4 Personalization and user modeling for interaction processes,EXCLUDE,EC4/context – book chapter section, no built environment,
26,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Topic-model based Estimation of Passive Twitter-User's Interests from Followed Users' Tweets,EXCLUDE,EC2 – Twitter passive user interest estimation,10.1109/IIAI-AAI53430.2021.00057
27,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Personalized Federated Learning With Model-Contrastive Learning for Multi-Modal User Modeling in Human-Centric Metaverse,EXCLUDE,"context – metaverse (virtual, not physical built environment)",10.1109/JSAC.2023.3345431
28,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,User Identity Linkage Across Social Media via Attentive Time-Aware User Modeling,EXCLUDE,EC2 – social media identity linkage,10.1109/TMM.2020.3034540
29,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Incorporating Adjacent User Modeling into Session-based Recommendation with Graph Neural Networks,EXCLUDE,EC2 – session-based recommendation with GNN,10.1109/ICDMW53433.2021.00008
30,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,User Modeling for Collaborative Adaptative Mobile Educational Applications: A Systematic Review of the Literature,EXCLUDE,context – mobile educational applications,10.1109/ENC56672.2022.9882919
31,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2023,1 Theory-grounded user modeling for personalized HCI,EXCLUDE,EC4/context – book chapter on HCI personalization,
32,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Requirements for Fair and Trustworthy AI: Overcoming Clustering and Stereotype Bias Through Individualized User Modeling,UNCERTAIN,"IC4(individualized modeling, bias in AI), no built environment context, IC3 unclear",10.1109/IISA66859.2025.11311203
