id,source,year,title,decision,reason,doi
1,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,An Evaluation of Ontology-based User Preferences and Profiling System in a Smart Home,INCLUDE,IC3(relational+generative: rag) + IC4(user preference) + IC5(smart home),10.1109/NIGERCON62786.2024.10927055
2,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,User portrait-driven smart home device deployment optimization and spatial interaction design,INCLUDE,IC3(generative: rag) + IC4(user profile) + IC5(smart home),10.1109/AIAHPC66801.2025.11290248
3,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,RAG-based User Profiling for Precision Planning in Mixed-precision Over-the-Air Federated Learning,UNCERTAIN,no built environment context detected,10.1109/VTC2025-Fall65116.2025.11310436
4,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Analyzing User Interests and Emotions for Product Recommendations Based on Interactive Social Media Content,EXCLUDE,"EC2 – web/social platform context (social media, product recommendation)",10.1109/ICMISI65108.2025.11115465
5,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Knowledge inference from home appliances data,UNCERTAIN,no AI method detected; no built environment context detected,10.1109/ICCP56966.2022.10053977
6,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Cost-Sensitive User Modeling for Predicting Phishing Susceptibility,UNCERTAIN,no built environment context detected,10.1109/ISI65680.2025.11201138
7,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Design of College User Portrait System Based on Data Centers,UNCERTAIN,no AI method detected; no built environment context detected,10.1109/EDPEE61724.2024.00035
8,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Federated Learning for Privacy-Preserving User Modeling in Mobile Applications,UNCERTAIN,no built environment context detected,10.1109/AECTSD65988.2025.11410725
9,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Research on Communication Strategy of Computing Advertising Scene Based on Artificial Intelligence,UNCERTAIN,no AI method detected; no occupant preference/intent dimension detected; no built environment context detected,10.1109/SCM66446.2025.11060357
10,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Personalized News Headline Generation System with Fine-grained User Modeling,UNCERTAIN,no AI method detected; no built environment context detected,10.1109/MSN57253.2022.00097
11,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Bi-Level User Modeling for Deep Recommenders,UNCERTAIN,no built environment context detected,10.1109/ICDM59182.2024.00058
12,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,Research on the Design of I&P Teaching Resource Recommendation Method Based on AI and Deep Learning Algorithms,UNCERTAIN,no built environment context detected,10.1109/ICIPCA65645.2025.11138580
13,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,Time-aware User Modeling with Check-in Time Prediction for Next POI Recommendation,UNCERTAIN,no built environment context detected,10.1109/ICWS53863.2021.00028
14,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,User Modeling Using EEG Signals: A Systematic Literature Review,UNCERTAIN,no built environment context detected,10.1109/CONISOFT63288.2024.00024
15,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2025,A Framework for Dynamic User Modeling Integrating Data Stream Mining and Process Mining in Educational Contexts,UNCERTAIN,no built environment context detected,10.1109/ACCESS.2025.3611957
16,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2021,VRule - A Pixel Rewriting System for End-User Modeling,UNCERTAIN,no AI method detected; no built environment context detected,10.1109/VL/HCC51201.2021.9576388
17,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,A Comprehensive User Modeling Framework and a Recommender System for Personalizing Well-Being Related Behavior Change Interventions: Development and Evaluation,UNCERTAIN,no AI method detected; no built environment context detected,10.1109/ACCESS.2022.3218776
18,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2024,Insider Threat Detection Based on Personalized User Modeling,UNCERTAIN,no built environment context detected,10.1109/CISAT62382.2024.10695344
19,IEEE Xplore Citation BibTeX Download 2026.4.9.15.59.1,2022,Cross Layer Design for Primary User Modeling in Cognitive Radio Ad-hoc Sensor Network,UNCERTAIN,no AI method detected; no built environment context detected,10.1109/ICESC54411.2022.9885585
